Date_Run	BY	Primer	Sample	Animal	Group	Tissue	Age	Threshold	Slope	Intercept	R2	CT1	CT2	Copy_1	Copy_2	ng_RNA	CONV>ng RNA	per_ng_1	per_ng_2	Mean	Stdev	Coeff_pct	CT3	Copy_3	per_ng_3
8/23/2019	DV	AV4	8B31I	8	B31	I	13.8	0.346	-3.311	36.42	0.999	23.01	23.34	1.12E+04	8.91E+03		10	1123.00	891.00	1007.00	164.00	0.16			
7/16/2019	DV	AV4	1B31I	1	B31	I	13.8	0.6721	-3.293	37.18	0.999	20.43	20.46	1.22E+05	1.19E+05		8.4	14535.70	14214.30	14375.00	227.00	0.02			
7/16/2019	DV	AV4	2B31I	2	B31	I	13.8	0.6721	-3.293	37.18	0.999	25.01	25.31	4.97E+03	4.03E+03		8.4	591.50	479.40	535.00	79.00	0.15			
7/16/2019	DV	AV4	3B31I	3	B31	I	13.8	0.6721	-3.293	37.18	0.999	23.13	23.36	1.85E+04	1.58E+04		14.7	1259.90	1074.80	1167.00	131.00	0.11			
7/16/2019	DV	AV4	4B31I	4	B31	I	13.8	0.6721	-3.293	37.18	0.999	22.73	22.69	2.46E+04	2.51E+04		10	2456.00	2513.00	2485.00	40.00	0.02			
9/19/2019	DWP	AV4	9B23I	9	B23	I	16.2		-3.3	37.25		23.28	22.55	1.70E+04	2.80E+04	200	10	1716.00	2845.00	2281.00	798.00	0.35			
10/15/2019	DWP	AV4	10B23I	10	B23	I	16.2		-3.21	37.14		26.57	26.23	2.00E+03	2.50E+03	200	10	197.00	253.00	225.00	39.00	0.17			
10/15/2019	DWP	AV4	11B23I	11	B23	I	16.2		-3.21	37.14		24.53	25.45	8.60E+03	4.40E+03	200	10	856.00	441.00	649.00	293.00	0.45			
10/15/2019	DWP	AV4	12B23I	12	B23	I	16.2		-3.21	37.14		20.58	20.48	1.50E+05	1.60E+05	200	10	14630.00	15700.00	15165.00	757.00	0.05			
2/24/2020	DWP	AV4	17B15I	17	B15	I	18.7	0	-3.2884	35.9018	0.9894	21.34	21.449	2.68E+04	2.48E+04	200	10	2683.00	2483.00	2583.00	142.00	0.05			
2/24/2020	DWP	AV4	18B15I	18	B15	I	18.7	0	-3.2884	35.9018	0.9894	26.26	26.262	8.53E+02	8.54E+02	49	2.45	348.00	348.00	348.00	0.00	0.00			
2/24/2020	DWP	AV4	19B15I	19	B15	I	18.7	0	-3.2884	35.9018	0.9894	21.13	21.447	3.10E+04	2.49E+04	200	10	3104.00	2488.00	2796.00	436.00	0.16			
3/19/2020	DV	AV4	1B10L	1	B10	L	11.9	0.109	-3.1	33.93	1	17.52	18.1	1.95E+05	1.27E+05	200	10	19502.00	12711.00	16106.00	4802.00	0.30			
3/19/2020	DV	AV4	2B10L	2	B10	L	11.9	0.109	-3.1	33.93	1	18.14	18.26	1.23E+05	1.13E+05	200	10	12301.00	11269.00	11785.00	730.00	0.06			
3/19/2020	DV	AV4	3B10L	3	B10	L	11.9	0.109	-3.1	33.93	1	19.4	19.62	4.85E+04	4.10E+04	200	10	4845.00	4096.00	4471.00	530.00	0.12			
8/23/2019	DV	AV4	5B31L	5	B31	L	13.8	0.346	-3.311	36.42	0.999	32	31.61	2.15E+01	2.83E+01		7.35	2.90	3.90	3.00	1.00	0.19			
8/23/2019	DV	AV4	6B31L	6	B31	L	13.8	0.346	-3.311	36.42	0.999	18.91	19.12	1.94E+05	1.68E+05		10	19420.00	16790.00	18105.00	1860.00	0.10			
